creator_name,country,language,genre,accv,hours_streamed,creator_rate,baseline_30d_accv,baseline_90d_accv
ninja,US,EN,FPS,45000,24,85000,42000,40000
pokimane,US,EN,Variety,28000,18,45000,30000,29000
shroud,CA,EN,FPS,38000,20,72000,35000,34000
lirik,US,EN,Variety,22000,30,38000,24000,23000
sodapoppin,US,EN,Variety,18000,25,32000,19000,18500
xqc,CA,EN,Variety,85000,35,120000,80000,75000
timthetatman,US,EN,FPS,15000,16,28000,16000,15500
summit1g,US,EN,FPS,20000,28,35000,18000,17500
hasanabi,US,EN,Politics,35000,45,55000,32000,30000
mizkif,US,EN,Variety,25000,22,40000,27000,26000
